file,title,doi,year,venue,include,skip_reason,mixing_model,supervision,category,canonical_key,duplicate_count
Combinatorial Nonnegative Matrix-Tensor Factorization for Hyperspectral Unmixing Using a General --ell _-q-- Norm Regularization.pdf,"Combinatorial Nonnegative Matrix-Tensor Factorization for Hyperspectral Unmixing Using a General <inline-formula><tex-math notation=""LaTeX"">$\ell _{q}$</tex-math></inline-formula> Norm Regularization",10.1109/JSTARS.2024.3392497,2024,TBD,yes,,linear,blind,linear blind unmixing; NMF; sparse; tensor; attention,10.1109/jstars.2024.3392497,1
Combining 4D Hyperspectral Imaging With CNN for Nerve and Ligament Differentiation.pdf,Combining 4D Hyperspectral Imaging With CNN for Nerve and Ligament Differentiation,10.1109/ISBI60581.2025.10981284,,TBD,no,related application / not core HU survey,,,,10.1109/isbi60581.2025.10981284,1
Comparative Analysis of Endmember Extraction Methods for Lithological Mapping Using Hyperspectral Imaging.pdf,Comparative Analysis of Endmember Extraction Methods for Lithological Mapping Using Hyperspectral Imaging,10.1109/MERCon63886.2024.10688782,,TBD,yes,,linear,blind,linear blind unmixing; KAN,10.1109/mercon63886.2024.10688782,1
Cycle-Consistent Sparse Unmixing Network Based on Deep Image Prior.pdf,Cycle-Consistent Sparse Unmixing Network Based on Deep Image Prior,10.1109/IGARSS53475.2024.10641125,,TBD,no,related application / not core HU survey,,,,10.1109/igarss53475.2024.10641125,1
DAAN A Deep Autoencoder-Based Augmented Network for Blind Multilinear Hyperspectral Unmixing.pdf,DAAN: A Deep Autoencoder-Based Augmented Network for Blind Multilinear Hyperspectral Unmixing,10.1109/TGRS.2024.3381632,2024,IEEE Transactions on Geoscience and Remote Sensing,yes,,nonlinear,blind,nonlinear blind unmixing; autoencoder; multilinear,10.1109/tgrs.2024.3381632,2
DAAN_A_Deep_Autoencoder-Based_Augmented_Network_for_Blind_Multilinear_Hyperspectral_Unmixing.pdf,DAAN: A Deep Autoencoder-Based Augmented Network for Blind Multilinear Hyperspectral Unmixing,10.1109/TGRS.2024.3381632,2024,IEEE Transactions on Geoscience and Remote Sensing,yes,,nonlinear,blind,nonlinear blind unmixing; autoencoder; multilinear,10.1109/tgrs.2024.3381632,2
DBNSR Hyperspectral Image Super-Resolution Based on Dual-Branch Network.pdf,DBNSR: Hyperspectral Image Super-Resolution Based on Dual-Branch Network,10.1109/TGRS.2026.3678075,2026,IEEE Transactions on Geoscience and Remote Sensing,no,related application / not core HU survey,,,,10.1109/tgrs.2026.3678075,1
DEAE Diffusion-Enhanced Autoencoder Network for Unsupervised Nonlinear Hyperspectral Unmixing.pdf,DEAE: Diffusion-Enhanced Autoencoder Network for Unsupervised Nonlinear Hyperspectral Unmixing,10.1109/TGRS.2025.3608084,2025,IEEE Transactions on Geoscience and Remote Sensing,yes,,nonlinear,blind,nonlinear blind unmixing; autoencoder; diffusion; attention; multilinear,10.1109/tgrs.2025.3608084,2
DEAE_Diffusion-Enhanced_Autoencoder_Network_for_Unsupervised_Nonlinear_Hyperspectral_Unmixing.pdf,DEAE: Diffusion-Enhanced Autoencoder Network for Unsupervised Nonlinear Hyperspectral Unmixing,10.1109/TGRS.2025.3608084,2025,IEEE Transactions on Geoscience and Remote Sensing,yes,,nonlinear,blind,nonlinear blind unmixing; autoencoder; diffusion; attention; multilinear,10.1109/tgrs.2025.3608084,2
DSFC-AE A New Hyperspectral Unmixing Method Based on Deep Shared Fully Connected Autoencoder.pdf,DSFC-AE: A New Hyperspectral Unmixing Method Based on Deep Shared Fully Connected Autoencoder,10.1109/JSTARS.2024.3450856,2024,TBD,yes,,linear,blind,linear blind unmixing; autoencoder; graph; spectral variability,10.1109/jstars.2024.3450856,1
DSSU Dual-Stage Sparse Unmixing for Asynchronous Mixed Signal of Infrared Targets.pdf,DSSU: Dual-Stage Sparse Unmixing for Asynchronous Mixed Signal of Infrared Targets,10.1109/TGRS.2024.3490539,2024,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,blind,linear blind unmixing; sparse,10.1109/tgrs.2024.3490539,1
DTU-Net A Multi-Scale Dilated Transformer Network for Nonlinear Hyperspectral Unmixing.pdf,DTU-Net: A Multi-Scale Dilated Transformer Network for Nonlinear Hyperspectral Unmixing,10.1109/TGRS.2026.3658361,2026,IEEE Transactions on Geoscience and Remote Sensing,yes,,hybrid/unclear,blind,hybrid blind unmixing; autoencoder; transformer; attention; multiscale,10.1109/tgrs.2026.3658361,1
Deep Attention-Guided Spatial-Spectral Network for Hyperspectral Image Unmixing.pdf,Deep Attention-Guided Spatial-Spectral Network for Hyperspectral Image Unmixing,10.1109/LGRS.2023.3345959,2024,IEEE Geoscience and Remote Sensing Letters,yes,,linear,blind,linear blind unmixing; autoencoder; attention,10.1109/lgrs.2023.3345959,1
Deep Diffusion Models and Unsupervised Hyperspectral Unmixing for Realistic Abundance Map Synthesis.pdf,Deep Diffusion Models and Unsupervised Hyperspectral Unmixing for Realistic Abundance Map Synthesis,10.1109/CVPRW67362.2025.00286,,TBD,yes,,linear,blind,linear blind unmixing; diffusion,10.1109/cvprw67362.2025.00286,2
Deep Learning-Based Spectral Unmixing of Low Resolution Sentinel-2 Data for Monitoring Small Rivers A Case Study at Enguri River- Georgia.pdf,"Deep Learning-Based Spectral Unmixing of Low Resolution Sentinel-2 Data for Monitoring Small Rivers: A Case Study at Enguri River, Georgia",10.1109/WHISPERS69515.2025.11501649,,TBD,no,related application / not core HU survey,,,,10.1109/whispers69515.2025.11501649,1
Deep NMF and Autoencoder A Comparative Analysis for Hyperspectral Unmixing Using Prisma Real Images.pdf,Deep NMF and Autoencoder: A Comparative Analysis for Hyperspectral Unmixing Using Prisma Real Images,10.1109/IGARSS53475.2024.10642930,,TBD,yes,,nonlinear,blind,nonlinear blind unmixing; autoencoder; NMF; low-rank,10.1109/igarss53475.2024.10642930,1
Deep_Diffusion_Models_and_Unsupervised_Hyperspectral_Unmixing_for_Realistic_Abundance_Map_Synthesis.pdf,Deep Diffusion Models and Unsupervised Hyperspectral Unmixing for Realistic Abundance Map Synthesis,10.1109/CVPRW67362.2025.00286,,TBD,yes,,linear,blind,linear blind unmixing; diffusion,10.1109/cvprw67362.2025.00286,2
Detecting Nearshore Underwater Targets With Hyperspectral Nonlinear Unmixing Autoencoder.pdf,Detecting Nearshore Underwater Targets With Hyperspectral Nonlinear Unmixing Autoencoder,10.1109/TGRS.2024.3454818,2024,IEEE Transactions on Geoscience and Remote Sensing,no,related application / not core HU survey,,,,10.1109/tgrs.2024.3454818,1
Diffusion-Model-Based Hyperspectral Unmixing Using Spectral Prior Distribution.pdf,Diffusion-Model-Based Hyperspectral Unmixing Using Spectral Prior Distribution,10.1109/TGRS.2024.3408475,2024,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,semi-supervised,linear semi-supervised unmixing; diffusion,10.1109/tgrs.2024.3408475,1
Digital Surface Model-Embedded Intrinsic Hyperspectral Unmixing.pdf,Digital Surface Model-Embedded Intrinsic Hyperspectral Unmixing,10.1109/TGRS.2025.3553823,2025,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,blind,linear blind unmixing; spectral variability,10.1109/tgrs.2025.3553823,1
Double-Weighted Spatial Low-Rank and Superpixel-Guided Adaptive Graph Laplacian Regularization for Sparse Hyperspectral Unmixing.pdf,Double-Weighted Spatial Low-Rank and Superpixel-Guided Adaptive Graph Laplacian Regularization for Sparse Hyperspectral Unmixing,10.1109/TIM.2025.3548194,2025,TBD,yes,,linear,semi-supervised,linear semi-supervised unmixing; sparse; graph; low-rank,10.1109/tim.2025.3548194,1
Dual Embedding Transformer Network for Hyperspectral Unmixing.pdf,Dual Embedding Transformer Network for Hyperspectral Unmixing,10.1109/JSTARS.2024.3523747,2025,TBD,yes,,linear,blind,linear blind unmixing; autoencoder; transformer; attention; multiscale,10.1109/jstars.2024.3523747,1
Dual-Branch Cross Weighting Network for Multimodal Hyperspectral Unmixing.pdf,Dual-Branch Cross Weighting Network for Multimodal Hyperspectral Unmixing,10.1109/LGRS.2025.3549218,2025,IEEE Geoscience and Remote Sensing Letters,yes,,linear,semi-supervised,linear semi-supervised unmixing; autoencoder; attention; multimodal,10.1109/lgrs.2025.3549218,1
EMLM-Net An Extended Multilinear Mixing Model-Inspired Dual-Stream Network for Unsupervised Nonlinear Hyperspectral Unmixing.pdf,EMLM-Net An Extended Multilinear Mixing Model-Inspired Dual-Stream Network for Unsupervised Nonlinear Hyperspectral Unmixing,10.1109/TGRS.2024.3363427,2024,IEEE Transactions on Geoscience and Remote Sensing,yes,,nonlinear,blind,nonlinear blind unmixing; autoencoder; ADMM; multilinear; unfolding,10.1109/tgrs.2024.3363427,2
EMLM-Net_An_Extended_Multilinear_Mixing_Model-Inspired_Dual-Stream_Network_for_Unsupervised_Nonlinear_Hyperspectral_Unmixing.pdf,EMLM-Net An Extended Multilinear Mixing Model-Inspired Dual-Stream Network for Unsupervised Nonlinear Hyperspectral Unmixing,10.1109/TGRS.2024.3363427,2024,IEEE Transactions on Geoscience and Remote Sensing,yes,,nonlinear,blind,nonlinear blind unmixing; autoencoder; ADMM; multilinear; unfolding,10.1109/tgrs.2024.3363427,2
